Date,Strategy A (Equal Wt),Strategy B (Take-Profit),Strategy C (Proportional),BM1: EW Fixed,BM2: EW Rebal
2025-05-15,1.0325418035322649,1.0308578308243823,1.0575623401651886,1.069514546256245,1.0686864322127034
2025-05-16,1.0403931837689568,1.0364691588558521,1.0708665637548378,1.080052225845568,1.0791730832008541
2025-05-19,1.044069387335424,1.0384414032624671,1.0805252843690887,1.0834517726594435,1.0824133118746868
2025-05-20,1.0462386951751745,1.0401953268710462,1.0870975228335455,1.0828360781129087,1.0817093062120506
2025-05-21,1.0405232472857973,1.0343123801369685,1.0767209789170724,1.0701239562472815,1.0690841084591607
2025-05-22,1.039099637875262,1.0354415883344634,1.0819125635860278,1.0654964389788442,1.0649245031713253
2025-05-23,1.0436605842334583,1.037111040946039,1.0821999628896393,1.0665534734299849,1.0654337424311016
2025-05-27,1.050295918256436,1.041299746340336,1.0863967600421647,1.0765357119456533,1.075305113311689
2025-05-28,1.040224599362621,1.0336390706678298,1.071230577216919,1.0663409101723813,1.064624762204456
2025-05-29,1.0477990468760061,1.038695436875778,1.0772141755888809,1.0686552146494146,1.066265466437389
2025-05-30,1.0528330639591128,1.040273995450084,1.0828069111822862,1.0729894770433743,1.0703887605664202
2025-06-02,1.0503227586146184,1.040666190340378,1.0791522300465706,1.0728892453588026,1.0698914353454445
2025-06-03,1.0504407723408469,1.0443650188355282,1.0858553349586992,1.0751686768489974,1.0724756631205672
2025-06-04,1.0480904975725134,1.0425386220461246,1.0910564649596595,1.0690269790107654,1.0664808253652724
2025-06-05,1.0409045539239195,1.040692435761528,1.0853602156345417,1.0649030474070864,1.0620474325708866
2025-06-06,1.0542668036424019,1.051200719386112,1.1022897747292926,1.0725794700977613,1.0700941975406493
2025-06-09,1.0556913535986787,1.0532549823257902,1.1062439147630785,1.0739190860312091,1.0715477509478608
2025-06-10,1.068681994261355,1.0641504608532864,1.1275911737845854,1.0772923324049992,1.0757897466471982
2025-06-11,1.0646968472429863,1.0619599663576453,1.1185065394712157,1.0791742205023114,1.0770437913389546
2025-06-12,1.0727808777327428,1.0681203642527526,1.1333241091777635,1.0787642568823959,1.0774278884217516
2025-06-13,1.0685494567336602,1.069818299753323,1.1332031147221466,1.0722490679303847,1.0708342585346673
2025-06-16,1.065621736866548,1.0675924921934081,1.1303867450303964,1.0736953425195546,1.072575999694579
2025-06-17,1.0529366712221255,1.0607410917733446,1.1058064604726492,1.067431601340591,1.0659002842981395
2025-06-18,1.0505352077624603,1.0611810854072545,1.1103293546703281,1.0648122457729003,1.0635078720016347
2025-06-20,1.050829878704568,1.05924188877787,1.1080029873728032,1.0721620400558092,1.070426069217947
2025-06-23,1.0574442776862898,1.0643533500939608,1.1179207372761863,1.08450379223878,1.0819730679930084
2025-06-24,1.0548610567448071,1.066002092685242,1.1177818580032153,1.0861570372442704,1.0837625532319148
2025-06-25,1.049236703919242,1.0644028401903611,1.1117543678958814,1.079076975097106,1.0768888428806855
2025-06-26,1.0474938833903944,1.0617808760175313,1.1055486457443429,1.086197260017546,1.0837720311828472
2025-06-27,1.0520377861051273,1.063067004837276,1.1086054085101553,1.0927474372571853,1.0901243189342975
2025-06-30,1.052334595765315,1.0637026093657673,1.1093446623590355,1.0967496178217941,1.0937672621717691
2025-07-01,1.0724931079011677,1.0752393579338715,1.1393550093573384,1.1044379745344404,1.1032190049945805
2025-07-02,1.0747685116791006,1.0762674583293177,1.1452075380527047,1.1034260066536026,1.103039027880752
2025-07-03,1.0729881286251313,1.0730757013935202,1.1349226106886177,1.1085136771652861,1.1076411684448677
2025-07-07,1.0690247995215147,1.0719782035710506,1.1321997869210172,1.107249723336274,1.1058169215006945
2025-07-08,1.0736587039804846,1.0739417598322654,1.141643184673962,1.1067736498867822,1.1058526884282003
2025-07-09,1.0773743688880635,1.0807941150310296,1.1605727715675216,1.1123050488959598,1.111335248271444
2025-07-10,1.0839619733850927,1.083544845660874,1.166908887470731,1.1200539697955825,1.1191272294415768
2025-07-11,1.0811169925968986,1.0807568381410342,1.1612884195153697,1.1161646847130153,1.114996718361253
2025-07-14,1.0709478485382309,1.0814504504409284,1.1594463375467987,1.1181859508729484,1.1161117948644141
2025-07-15,1.0599908902296842,1.073616906203507,1.1382790489767427,1.1105010844270036,1.1077079356779642
2025-07-16,1.0755864770621943,1.0893121305132003,1.1609603288649224,1.118184441112179,1.1156954665585697
